date_time,b_code,usage,peak
202201010000,SGBD,237.06,948.24
202201010015,SGBD,236.88,947.52
202201010030,SGBD,236.88,947.52
202201010045,SGBD,234.9,939.6
202201010100,SGBD,234.54,938.16
202201010115,SGBD,234.18,936.72
202201010130,SGBD,230.94,923.76
202201010145,SGBD,228.6,914.4
202201010200,SGBD,230.04,920.16
202201010215,SGBD,235.08,940.32
202201010230,SGBD,235.62,942.48
202201010245,SGBD,235.62,942.48
202201010300,SGBD,227.34,909.36
202201010315,SGBD,228.24,912.96
202201010330,SGBD,229.14,916.56
202201010345,SGBD,228.78,915.12
202201010400,SGBD,230.22,920.88
202201010415,SGBD,228.96,915.84
202201010430,SGBD,232.2,928.8
202201010445,SGBD,228.6,914.4
202201010500,SGBD,229.68,918.72
202201010515,SGBD,232.2,928.8
202201010530,SGBD,230.76,923.04
202201010545,SGBD,229.14,916.56
202201010600,SGBD,234,936
202201010615,SGBD,236.7,946.8
202201010630,SGBD,237.42,949.68
202201010645,SGBD,237.6,950.4
202201010700,SGBD,239.94,959.76
202201010715,SGBD,240.3,961.2
202201010730,SGBD,237.96,951.84
202201010745,SGBD,239.4,957.6
202201010800,SGBD,238.5,954
202201010815,SGBD,237.06,948.24
202201010830,SGBD,237.06,948.24
202201010845,SGBD,243.54,974.16
202201010900,SGBD,243.9,975.6
202201010915,SGBD,239.94,959.76
202201010930,SGBD,240.3,961.2
202201010945,SGBD,244.08,976.32
202201011000,SGBD,242.28,969.12
202201011015,SGBD,243,972
202201011030,SGBD,242.1,968.4
202201011045,SGBD,246.78,987.12
202201011100,SGBD,240.12,960.48
202201011115,SGBD,244.62,978.48
202201011130,SGBD,246.06,984.24
202201011145,SGBD,249.66,998.64
202201011200,SGBD,244.98,979.92
202201011215,SGBD,246.24,984.96
202201011230,SGBD,239.04,956.16
202201011245,SGBD,241.2,964.8
202201011300,SGBD,246.96,987.84
202201011315,SGBD,240.84,963.36
202201011330,SGBD,243.36,973.44
202201011345,SGBD,242.46,969.84
202201011400,SGBD,240.12,960.48
202201011415,SGBD,246.06,984.24
202201011430,SGBD,244.62,978.48
202201011445,SGBD,244.08,976.32
202201011500,SGBD,243.72,974.88
202201011515,SGBD,243,972
202201011530,SGBD,244.8,979.2
202201011545,SGBD,243.18,972.72
202201011600,SGBD,239.76,959.04
202201011615,SGBD,240.66,962.64
202201011630,SGBD,242.28,969.12
202201011645,SGBD,239.04,956.16
202201011700,SGBD,243.72,974.88
202201011715,SGBD,248.76,995.04
202201011730,SGBD,247.86,991.44
202201011745,SGBD,247.86,991.44
202201011800,SGBD,248.22,992.88
202201011815,SGBD,245.34,981.36
202201011830,SGBD,245.16,980.64
202201011845,SGBD,244.8,979.2
202201011900,SGBD,242.1,968.4
202201011915,SGBD,243.72,974.88
202201011930,SGBD,244.62,978.48
202201011945,SGBD,241.2,964.8
202201012000,SGBD,246.6,986.4
202201012015,SGBD,248.4,993.6
202201012030,SGBD,241.38,965.52
202201012045,SGBD,240.48,961.92
202201012100,SGBD,233.1,932.4
202201012115,SGBD,234,936
202201012130,SGBD,234.18,936.72
202201012145,SGBD,232.74,930.96
202201012200,SGBD,233.64,934.56
202201012215,SGBD,234.18,936.72
202201012230,SGBD,233.46,933.84
202201012245,SGBD,238.68,954.72
202201012300,SGBD,240.66,962.64
202201012315,SGBD,238.14,952.56
202201012330,SGBD,240.66,962.64
202201012345,SGBD,240.66,962.64
202201020000,SGBD,237.24,948.96
202201020015,SGBD,238.86,955.44
