b_name,daq_time,wday,day_type,hour,temp,rh,p_usage
ABC,2016-01-01 0:15,5,3,1,-2.5,99,229
ABC,2016-01-01 0:30,5,3,1,-2.5,99,231
ABC,2016-01-01 0:45,5,3,1,-2.5,99,231
ABC,2016-01-01 1:00,5,3,1,-3.1,100,226
ABC,2016-01-01 1:15,5,3,2,-3.1,100,229
ABC,2016-01-01 1:30,5,3,2,-3.1,100,223
ABC,2016-01-01 1:45,5,3,2,-3.1,100,233
ABC,2016-01-01 2:00,5,3,2,-3.1,100,234
ABC,2016-01-01 2:15,5,3,3,-3.1,100,230
ABC,2016-01-01 2:30,5,3,3,-3.1,100,228
ABC,2016-01-01 2:45,5,3,3,-3.1,100,224
ABC,2016-01-01 3:00,5,3,3,-2.9,100,226
ABC,2016-01-01 3:15,5,3,4,-2.9,100,234
ABC,2016-01-01 3:30,5,3,4,-2.9,100,231
ABC,2016-01-01 3:45,5,3,4,-2.9,100,229
ABC,2016-01-01 4:00,5,3,4,-3.5,100,224
ABC,2016-01-01 4:15,5,3,5,-3.5,100,226
ABC,2016-01-01 4:30,5,3,5,-3.5,100,225
ABC,2016-01-01 4:45,5,3,5,-3.5,100,228
ABC,2016-01-01 5:00,5,3,5,-3.9,100,228
ABC,2016-01-01 5:15,5,3,6,-3.9,100,230
ABC,2016-01-01 5:30,5,3,6,-3.9,100,226
ABC,2016-01-01 5:45,5,3,6,-3.9,100,226
ABC,2016-01-01 6:00,5,3,6,-4,100,227
ABC,2016-01-01 6:15,5,3,7,-4,100,231
ABC,2016-01-01 6:30,5,3,7,-4,100,247
ABC,2016-01-01 6:45,5,3,7,-4,100,251
ABC,2016-01-01 7:00,5,3,7,-2.5,100,257
ABC,2016-01-01 7:15,5,3,8,-2.5,100,251
ABC,2016-01-01 7:30,5,3,8,-2.5,100,248
ABC,2016-01-01 7:45,5,3,8,-2.5,100,249
ABC,2016-01-01 8:00,5,3,8,-2.5,100,248
ABC,2016-01-01 8:15,5,3,9,-2.5,100,249
ABC,2016-01-01 8:30,5,3,9,-2.5,100,253
ABC,2016-01-01 8:45,5,3,9,-2.5,100,245
ABC,2016-01-01 9:00,5,3,9,-1.3,100,242
ABC,2016-01-01 9:15,5,3,10,-1.3,100,239
ABC,2016-01-01 9:30,5,3,10,-1.3,100,245
ABC,2016-01-01 9:45,5,3,10,-1.3,100,245
ABC,2016-01-01 10:00,5,3,10,0.3,91,241
ABC,2016-01-01 10:15,5,3,11,0.3,91,240
ABC,2016-01-01 10:30,5,3,11,0.3,91,243
ABC,2016-01-01 10:45,5,3,11,0.3,91,238
ABC,2016-01-01 11:00,5,3,11,1.8,86,240
ABC,2016-01-01 11:15,5,3,12,1.8,86,244
ABC,2016-01-01 11:30,5,3,12,1.8,86,226
ABC,2016-01-01 11:45,5,3,12,1.8,86,225
ABC,2016-01-01 12:00,5,3,12,3.5,75,220
ABC,2016-01-01 12:15,5,3,13,3.5,75,215
ABC,2016-01-01 12:30,5,3,13,3.5,75,217
ABC,2016-01-01 12:45,5,3,13,3.5,75,219
ABC,2016-01-01 13:00,5,3,13,4,69,222
ABC,2016-01-01 13:15,5,3,14,4,69,222
ABC,2016-01-01 13:30,5,3,14,4,69,215
ABC,2016-01-01 13:45,5,3,14,4,69,211
ABC,2016-01-01 14:00,5,3,14,5.1,60,210
ABC,2016-01-01 14:15,5,3,15,5.1,60,214
ABC,2016-01-01 14:30,5,3,15,5.1,60,215
ABC,2016-01-01 14:45,5,3,15,5.1,60,216
ABC,2016-01-01 15:00,5,3,15,5,60,217
ABC,2016-01-01 15:15,5,3,16,5,60,219
ABC,2016-01-01 15:30,5,3,16,5,60,214
ABC,2016-01-01 15:45,5,3,16,5,60,218
ABC,2016-01-01 16:00,5,3,16,5.5,58,219
ABC,2016-01-01 16:15,5,3,17,5.5,58,219
ABC,2016-01-01 16:30,5,3,17,5.5,58,216
ABC,2016-01-01 16:45,5,3,17,5.5,58,212
ABC,2016-01-01 17:00,5,3,17,5.2,61,214
ABC,2016-01-01 17:15,5,3,18,5.2,61,220
ABC,2016-01-01 17:30,5,3,18,5.2,61,222
ABC,2016-01-01 17:45,5,3,18,5.2,61,217
ABC,2016-01-01 18:00,5,3,18,4.8,64,217
ABC,2016-01-01 18:15,5,3,19,4.8,64,214
ABC,2016-01-01 18:30,5,3,19,4.8,64,213
ABC,2016-01-01 18:45,5,3,19,4.8,64,216
ABC,2016-01-01 19:00,5,3,19,4.3,67,218
ABC,2016-01-01 19:15,5,3,20,4.3,67,224
ABC,2016-01-01 19:30,5,3,20,4.3,67,218
ABC,2016-01-01 19:45,5,3,20,4.3,67,219
ABC,2016-01-01 20:00,5,3,20,4.2,69,214
ABC,2016-01-01 20:15,5,3,21,4.2,69,217
ABC,2016-01-01 20:30,5,3,21,4.2,69,216
ABC,2016-01-01 20:45,5,3,21,4.2,69,213
ABC,2016-01-01 21:00,5,3,21,3.9,70,213
ABC,2016-01-01 21:15,5,3,22,3.9,70,210
ABC,2016-01-01 21:30,5,3,22,3.9,70,211
ABC,2016-01-01 21:45,5,3,22,3.9,70,212
ABC,2016-01-01 22:00,5,3,22,3.7,73,213
ABC,2016-01-01 22:15,5,3,23,3.7,73,215
ABC,2016-01-01 22:30,5,3,23,3.7,73,213
ABC,2016-01-01 22:45,5,3,23,3.7,73,209
ABC,2016-01-01 23:00,5,3,23,3.8,72,208
ABC,2016-01-01 23:15,5,3,24,3.8,72,214
ABC,2016-01-01 23:30,5,3,24,3.8,72,212
ABC,2016-01-01 23:45,5,3,24,3.8,72,214
ABC,2016-01-01 23:59,5,3,24,3.8,72,209
